epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67.5816,0.78499,0.80068,0.91578,0.80047,0.64954,0.80998,0.69291,0.67235,1.14668,0.81337,0.000243581,0.000243581,0.000243581
43,69.0558,0.67487,0.63453,0.90425,0.80047,0.64954,0.80998,0.69291,0.67235,1.14668,0.81337,0.000245364,0.000245364,0.000245364
44,70.7769,0.8353,0.73291,0.93413,0.80047,0.64954,0.80998,0.69291,0.67235,1.14668,0.81337,0.000246949,0.000246949,0.000246949
45,72.3444,0.84536,0.8126,0.95993,0.80047,0.64954,0.80998,0.69291,0.67235,1.14668,0.81337,0.000248336,0.000248336,0.000248336
46,73.8524,0.63876,0.63815,0.86193,0.77859,0.80317,0.86046,0.72812,0.63725,1.09871,0.81497,0.000249525,0.000249525,0.000249525
47,75.2468,0.69803,0.65702,0.90199,0.77859,0.80317,0.86046,0.72812,0.63725,1.09871,0.81497,0.000250516,0.000250516,0.000250516
48,76.7429,0.76904,0.89456,0.95895,0.77859,0.80317,0.86046,0.72812,0.63725,1.09871,0.81497,0.000251309,0.000251309,0.000251309
49,78.4082,0.65128,0.61568,0.86417,0.77859,0.80317,0.86046,0.72812,0.63725,1.09871,0.81497,0.000251904,0.000251904,0.000251904
50,79.84,0.66047,0.80336,0.91129,0.80806,0.88231,0.92229,0.77076,0.61995,0.97111,0.80456,0.000252301,0.000252301,0.000252301
51,81.2161,0.98913,0.86843,0.95845,0.80806,0.88231,0.92229,0.77076,0.61995,0.97111,0.80456,0.0002525,0.0002525,0.0002525
52,82.6609,0.63102,0.6418,0.89197,0.80806,0.88231,0.92229,0.77076,0.61995,0.97111,0.80456,0.000252501,0.000252501,0.000252501
53,84.0647,0.62897,0.57356,0.8972,0.80806,0.88231,0.92229,0.77076,0.61995,0.97111,0.80456,0.000252304,0.000252304,0.000252304
54,85.7933,1.93164,2.00567,1.40735,0.80806,0.88231,0.92229,0.77076,0.61995,0.97111,0.80456,0.000251909,0.000251909,0.000251909
55,87.3819,0.57983,0.59397,0.89608,0.91013,0.86791,0.95878,0.79921,0.6326,0.88038,0.80116,0.000251316,0.000251316,0.000251316
56,88.7186,0.80793,0.69243,0.87885,0.91013,0.86791,0.95878,0.79921,0.6326,0.88038,0.80116,0.000250525,0.000250525,0.000250525
57,90.0655,0.86075,0.66662,0.89235,0.91013,0.86791,0.95878,0.79921,0.6326,0.88038,0.80116,0.000249536,0.000249536,0.000249536
58,91.3885,0.63081,0.60015,0.89905,0.91013,0.86791,0.95878,0.79921,0.6326,0.88038,0.80116,0.000248349,0.000248349,0.000248349
59,92.848,0.67128,0.70721,0.94234,0.91013,0.86791,0.95878,0.79921,0.6326,0.88038,0.80116,0.000246964,0.000246964,0.000246964
60,94.5325,1.35124,1.22457,1.16086,0.91974,0.90275,0.97323,0.81415,0.60808,0.83933,0.79551,0.000245381,0.000245381,0.000245381
61,95.8382,0.6551,0.60119,0.85488,0.91974,0.90275,0.97323,0.81415,0.60808,0.83933,0.79551,0.0002436,0.0002436,0.0002436
62,97.1738,0.58818,0.50556,0.86958,0.91974,0.90275,0.97323,0.81415,0.60808,0.83933,0.79551,0.000241621,0.000241621,0.000241621
63,98.6127,0.83177,0.65742,0.87912,0.91974,0.90275,0.97323,0.81415,0.60808,0.83933,0.79551,0.000239444,0.000239444,0.000239444
64,100.076,0.68007,0.70705,0.93274,0.91974,0.90275,0.97323,0.81415,0.60808,0.83933,0.79551,0.000237069,0.000237069,0.000237069
65,101.449,0.62003,1.09577,0.86321,0.92353,0.93815,0.98192,0.83685,0.58943,0.76225,0.78826,0.000234496,0.000234496,0.000234496
66,102.972,1.79961,1.63056,1.25796,0.92353,0.93815,0.98192,0.83685,0.58943,0.76225,0.78826,0.000231725,0.000231725,0.000231725
67,104.32,1.40193,1.26888,1.18324,0.92353,0.93815,0.98192,0.83685,0.58943,0.76225,0.78826,0.000228756,0.000228756,0.000228756
68,105.709,0.69111,0.58495,0.84299,0.92353,0.93815,0.98192,0.83685,0.58943,0.76225,0.78826,0.000225589,0.000225589,0.000225589
69,107.391,0.85399,0.67526,0.89167,0.92353,0.93815,0.98192,0.83685,0.58943,0.76225,0.78826,0.000222224,0.000222224,0.000222224
70,108.749,0.61562,0.52203,0.84304,0.92353,0.93815,0.98192,0.83685,0.58943,0.76225,0.78826,0.000218661,0.000218661,0.000218661
71,110.137,0.58159,0.54683,0.87606,0.90894,0.97063,0.98504,0.83438,0.57279,0.69764,0.78602,0.0002149,0.0002149,0.0002149
72,111.523,0.59874,0.53496,0.87387,0.90894,0.97063,0.98504,0.83438,0.57279,0.69764,0.78602,0.000210941,0.000210941,0.000210941
73,112.768,1.4582,1.18856,1.21544,0.90894,0.97063,0.98504,0.83438,0.57279,0.69764,0.78602,0.000206784,0.000206784,0.000206784
74,114.223,0.6623,0.7829,0.95561,0.90894,0.97063,0.98504,0.83438,0.57279,0.69764,0.78602,0.000202429,0.000202429,0.000202429
